,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Date,Cloudiness,Hotel Name
132,132,qingdao,36.0986,120.3719,26.2,80,4.47,CN,1645373716,0,Willoughby Arms Ltd
133,133,fayetteville,35.0527,-78.8784,43.95,30,9.22,US,1645373457,0,Willoughby Arms Ltd
143,143,high level,58.5169,-117.13600000000001,-16.49,76,6.91,CA,1645373779,20,Willoughby Arms Ltd
146,146,puerto escondido,15.85,-97.0667,85.03,79,5.75,MX,1645373780,20,Willoughby Arms Ltd
147,147,sao gabriel da cachoeira,-0.1303,-67.0892,84.0,74,9.22,BR,1645373780,20,Willoughby Arms Ltd
148,148,constitucion,-35.3333,-72.4167,66.94,63,15.46,CL,1645373781,37,Willoughby Arms Ltd
149,149,luanda,-8.8368,13.2343,84.2,65,10.36,AO,1645373731,20,Willoughby Arms Ltd
150,150,yellowknife,62.456,-114.3525,-37.68,67,0.0,CA,1645373781,20,Willoughby Arms Ltd
154,154,tovarkovskiy,53.6822,38.2092,26.15,91,10.27,RU,1645373783,16,Willoughby Arms Ltd
156,156,maceio,-9.6658,-35.7353,89.04,51,11.5,BR,1645373783,40,Willoughby Arms Ltd
162,162,yarada,17.65,83.2667,79.12,78,2.3,IN,1645373595,11,Willoughby Arms Ltd
165,165,burnie,-41.0667,145.9167,50.94,80,12.53,AU,1645373786,30,Willoughby Arms Ltd
166,166,carlyle,38.6103,-89.3726,45.43,57,5.99,US,1645373786,0,Willoughby Arms Ltd
168,168,los llanos de aridane,28.6585,-17.9182,62.35,59,23.02,ES,1645373787,20,Willoughby Arms Ltd
169,169,port elizabeth,-33.918,25.5701,70.09,73,17.27,ZA,1645373787,0,Willoughby Arms Ltd
170,170,norman wells,65.282,-126.8329,-25.56,68,9.22,CA,1645373787,40,Willoughby Arms Ltd
171,171,deputatskiy,69.3,139.9,-34.82,97,4.5,RU,1645373667,13,Willoughby Arms Ltd
172,172,bethel,41.3712,-73.414,25.97,55,1.99,US,1645373788,0,Willoughby Arms Ltd
174,174,oistins,13.0667,-59.5333,82.49,61,18.41,BB,1645373653,20,Willoughby Arms Ltd
176,176,cockburn town,21.4612,-71.1419,76.96,68,16.73,TC,1645373665,3,Willoughby Arms Ltd
178,178,pula,44.8683,13.8481,50.58,87,6.91,HR,1645373790,0,Willoughby Arms Ltd
182,182,tuktoyaktuk,69.4541,-133.0374,-34.6,74,8.05,CA,1645373791,0,Willoughby Arms Ltd
183,183,sao jose da coroa grande,-8.8978,-35.1478,86.27,58,13.71,BR,1645373644,47,Willoughby Arms Ltd
189,189,new norfolk,-42.7826,147.0587,51.22,53,3.0,AU,1645373858,23,Willoughby Arms Ltd
190,190,georgetown,5.4112,100.3354,78.96,80,2.3,MY,1645373859,20,Willoughby Arms Ltd
191,191,riyadh,24.6877,46.7219,69.94,16,13.65,SA,1645373859,0,Willoughby Arms Ltd
192,192,adrar,20.5022,-10.0711,86.13,12,8.7,MR,1645373859,0,Willoughby Arms Ltd
196,196,acarau,-2.8856,-40.12,84.7,68,13.35,BR,1645373860,49,Willoughby Arms Ltd
198,198,silifke,36.3778,33.9344,57.56,58,3.51,TR,1645373861,35,Willoughby Arms Ltd
199,199,xai-xai,-25.0519,33.6442,80.11,73,15.86,MZ,1645373862,0,Willoughby Arms Ltd
200,200,resistencia,-27.4606,-58.9839,87.89,45,6.91,AR,1645373862,0,Willoughby Arms Ltd
202,202,lata,40.1629,-8.3327,58.55,37,6.76,PT,1645373863,23,Willoughby Arms Ltd
203,203,nong ki,14.6868,102.538,82.51,79,2.93,TH,1645373863,44,Willoughby Arms Ltd
207,207,havelock,34.8791,-76.9013,45.79,40,16.11,US,1645373865,0,Willoughby Arms Ltd
208,208,kruisfontein,-34.0033,24.7314,70.88,70,18.45,ZA,1645373865,10,Willoughby Arms Ltd
210,210,grindavik,63.8424,-22.4338,34.27,69,27.63,IS,1645373866,0,Willoughby Arms Ltd
212,212,bredasdorp,-34.5322,20.0403,74.52,53,17.27,ZA,1645373867,0,Willoughby Arms Ltd
213,213,boa vista,2.8197,-60.6733,91.38,40,14.97,BR,1645373867,40,Willoughby Arms Ltd
214,214,anadyr,64.75,177.4833,-20.0,75,6.71,RU,1645373868,0,Willoughby Arms Ltd
215,215,hurricane,37.1753,-113.2899,40.14,28,2.37,US,1645373641,0,Willoughby Arms Ltd
216,216,east london,-33.0153,27.9116,72.54,64,11.5,ZA,1645373868,0,Willoughby Arms Ltd
217,217,hofn,64.2539,-15.2082,35.62,44,18.41,IS,1645373869,20,Willoughby Arms Ltd
222,222,winnemucca,40.973,-117.7357,44.65,44,12.66,US,1645373699,0,Willoughby Arms Ltd
224,224,fairbanks,64.8378,-147.7164,-18.06,72,5.75,US,1645373694,0,Willoughby Arms Ltd
226,226,ray,23.6833,85.05,66.97,26,6.26,IN,1645373872,0,Willoughby Arms Ltd
228,228,krasnaya poyma,55.0014,39.08,32.52,89,10.65,RU,1645373873,47,Willoughby Arms Ltd
229,229,te anau,-45.4167,167.7167,46.98,91,1.54,NZ,1645373873,43,Willoughby Arms Ltd
230,230,paducah,37.0834,-88.6001,48.51,48,12.66,US,1645373714,0,Willoughby Arms Ltd
231,231,pangai,-19.8,-174.35,81.3,78,14.56,TO,1645373933,16,Willoughby Arms Ltd
232,232,show low,34.2542,-110.0298,48.78,27,14.97,US,1645373934,0,Willoughby Arms Ltd
233,233,saint anthony,45.0205,-93.21799999999999,38.97,59,13.8,US,1645373769,0,Willoughby Arms Ltd
236,236,saint george,37.1041,-113.5841,38.57,41,3.44,US,1645373768,0,Willoughby Arms Ltd
238,238,olinda,-8.0089,-34.8553,85.73,66,9.22,BR,1645373741,40,Willoughby Arms Ltd
241,241,araouane,18.9048,-3.5265,95.9,7,7.99,ML,1645373937,0,Willoughby Arms Ltd
244,244,rolla,37.9514,-91.7713,51.58,43,23.0,US,1645373938,0,Willoughby Arms Ltd
246,246,camacha,33.0833,-16.3333,54.84,82,26.46,PT,1645373938,40,Willoughby Arms Ltd
249,249,laguna,38.421,-121.4238,48.52,77,5.75,US,1645373820,0,Willoughby Arms Ltd
250,250,mastic beach,40.7668,-72.8521,28.81,49,10.0,US,1645373939,0,Willoughby Arms Ltd
252,252,kakinada,16.9333,82.2167,75.67,70,3.47,IN,1645373940,9,Willoughby Arms Ltd
256,256,anaco,9.4389,-64.4728,91.67,29,4.32,VE,1645373942,3,Willoughby Arms Ltd
257,257,flin flon,54.7682,-101.865,-23.62,84,9.04,CA,1645373942,12,Willoughby Arms Ltd
258,258,barcelos,41.5388,-8.6151,61.41,63,10.22,PT,1645373942,43,Willoughby Arms Ltd
259,259,cayenne,4.9333,-52.3333,82.09,84,14.97,GF,1645373943,20,Willoughby Arms Ltd
260,260,ararat,39.8317,44.7049,46.74,50,4.59,AM,1645373943,0,Willoughby Arms Ltd
261,261,hovd,48.0056,91.6419,-5.06,83,5.28,MN,1645373944,8,Willoughby Arms Ltd
262,262,pitanga,-24.7572,-51.7614,83.66,38,6.06,BR,1645373944,3,Willoughby Arms Ltd
269,269,esil,51.9556,66.4042,5.61,93,8.86,KZ,1645373946,16,Willoughby Arms Ltd
271,271,miri,4.4148,114.0089,73.54,100,8.05,MY,1645373947,40,Willoughby Arms Ltd
274,274,bejar,40.3864,-5.7634,58.5,44,4.56,ES,1645374008,8,Willoughby Arms Ltd
277,277,bilma,18.6853,12.9164,79.72,10,6.04,NE,1645374009,0,Willoughby Arms Ltd
279,279,qaqortoq,60.7167,-46.0333,10.9,65,3.18,GL,1645374010,1,Willoughby Arms Ltd
282,282,port blair,11.6667,92.75,73.44,88,0.0,IN,1645374011,20,Willoughby Arms Ltd
284,284,safaga,26.7292,33.9365,63.97,54,5.3,EG,1645374012,0,Willoughby Arms Ltd
286,286,sabang,5.8933,95.3214,83.26,71,5.77,ID,1645374012,22,Willoughby Arms Ltd
287,287,faya,18.3851,42.4509,57.72,72,5.48,SA,1645374013,42,Willoughby Arms Ltd
288,288,guane,22.2025,-84.0875,82.51,52,10.22,CU,1645374013,3,Willoughby Arms Ltd
289,289,asau,46.4333,26.4,43.52,73,6.22,RO,1645374013,43,Willoughby Arms Ltd
290,290,port-cartier,50.0334,-66.8654,12.69,68,6.62,CA,1645374014,3,Willoughby Arms Ltd
296,296,pisco,-13.7,-76.2167,71.65,78,9.22,PE,1645374016,0,Willoughby Arms Ltd
297,297,peniche,39.3558,-9.3811,60.28,62,17.98,PT,1645374016,17,Willoughby Arms Ltd
303,303,freeport,40.6576,-73.5832,29.28,41,5.75,US,1645373786,0,Willoughby Arms Ltd
305,305,nizwa,22.9333,57.5333,76.05,28,4.52,OM,1645374019,5,Willoughby Arms Ltd
310,310,mehamn,71.0357,27.8492,21.15,73,5.75,NO,1645374025,40,Willoughby Arms Ltd
313,313,jizan,17.3333,42.6667,79.74,50,13.51,SA,1645374026,44,Willoughby Arms Ltd
314,314,wilmington,34.2257,-77.9447,47.71,51,11.5,US,1645373951,0,Willoughby Arms Ltd
317,317,bathsheba,13.2167,-59.5167,83.01,61,18.41,BB,1645374027,20,Willoughby Arms Ltd
318,318,mareeba,-17.0,145.4333,73.4,90,2.24,AU,1645374088,33,Willoughby Arms Ltd
326,326,mangrol,21.1167,70.1167,73.71,60,13.56,IN,1645374094,27,Willoughby Arms Ltd
328,328,sundargarh,22.1167,84.0333,69.69,23,7.78,IN,1645374095,29,Willoughby Arms Ltd
330,330,inirida,3.8653,-67.9239,91.47,45,2.1,CO,1645374095,9,Willoughby Arms Ltd
343,343,maine-soroa,13.2114,12.0241,82.08,11,17.07,NE,1645374100,27,Willoughby Arms Ltd
345,345,debre zeyit,8.75,38.9833,66.29,57,14.5,ET,1645374101,34,Willoughby Arms Ltd
348,348,batagay,67.6333,134.6333,-38.72,99,4.16,RU,1645374102,37,Willoughby Arms Ltd
349,349,luderitz,-26.6481,15.1594,75.99,56,25.59,,1645374102,0,Willoughby Arms Ltd
350,350,payakumbuh,-0.2202,100.6308,71.44,90,2.04,ID,1645374102,26,Willoughby Arms Ltd
351,351,celestun,20.8667,-90.4,80.02,64,7.78,MX,1645374103,22,Willoughby Arms Ltd
352,352,kidal,18.4411,1.4078,89.24,7,13.49,ML,1645374103,5,Willoughby Arms Ltd
353,353,vestmannaeyjar,63.4427,-20.2734,36.59,51,23.02,IS,1645374104,40,Willoughby Arms Ltd
354,354,taksimo,56.3444,114.8794,-16.35,90,3.09,RU,1645374104,34,Willoughby Arms Ltd
363,363,acajutla,13.5928,-89.8275,89.94,45,7.14,SV,1645374168,5,Willoughby Arms Ltd
364,364,tessalit,20.1986,1.0114,90.0,6,8.39,ML,1645374168,12,Willoughby Arms Ltd
368,368,georgiyevka,43.0369,74.7114,32.04,93,2.24,KZ,1645374169,10,Willoughby Arms Ltd
370,370,saint joseph,39.7686,-94.8466,50.23,41,26.46,US,1645374170,0,Willoughby Arms Ltd
378,378,beloha,-25.1667,45.05,76.68,71,15.86,MG,1645374172,0,Willoughby Arms Ltd
379,379,veinticinco de diciembre,25.2602,-104.0519,64.67,27,0.92,MX,1645374173,18,Willoughby Arms Ltd
380,380,ahipara,-35.1667,173.1667,63.23,91,3.8,NZ,1645374173,7,Willoughby Arms Ltd
382,382,road town,18.4167,-64.6167,79.0,71,15.73,VG,1645373924,30,Willoughby Arms Ltd
388,388,waitati,-45.75,170.5667,58.8,81,6.67,NZ,1645374176,42,Willoughby Arms Ltd
390,390,kilindoni,-7.9139,39.6668,83.19,76,6.53,TZ,1645374177,32,Willoughby Arms Ltd
396,396,wanaka,-44.7,169.15,49.1,90,3.65,NZ,1645374013,12,Willoughby Arms Ltd
398,398,ciudad bolivar,8.1222,-63.5497,90.23,37,8.9,VE,1645374179,7,Willoughby Arms Ltd
399,399,manthani,18.65,79.6667,80.67,31,2.73,IN,1645374180,49,Willoughby Arms Ltd
400,400,emerald,-23.5333,148.1667,73.35,64,8.12,AU,1645374180,1,Willoughby Arms Ltd
401,401,abnub,27.2696,31.1511,64.62,33,9.15,EG,1645374180,2,Willoughby Arms Ltd
402,402,socorro,31.6546,-106.3033,51.13,27,0.0,US,1645374181,40,Willoughby Arms Ltd
403,403,oum hadjer,13.2954,19.6966,88.39,10,10.07,TD,1645374181,10,Willoughby Arms Ltd
406,406,malaut,30.2167,74.4833,57.4,25,7.02,IN,1645374183,0,Willoughby Arms Ltd
408,408,shar,49.5886,81.0453,2.25,75,12.03,KZ,1645374183,1,Willoughby Arms Ltd
409,409,westport,41.1415,-73.3579,28.08,52,10.36,US,1645373911,0,Willoughby Arms Ltd
410,410,richards bay,-28.783,32.0377,78.53,83,8.93,ZA,1645374244,27,Willoughby Arms Ltd
412,412,guaira,-20.3183,-48.3106,79.16,69,4.85,BR,1645374245,38,Willoughby Arms Ltd
413,413,lumberton,34.6182,-79.0086,45.9,32,6.91,US,1645374073,0,Willoughby Arms Ltd
416,416,lazaro cardenas,17.9583,-102.2,84.65,36,2.35,MX,1645373994,1,Willoughby Arms Ltd
417,417,nantucket,41.2835,-70.0995,26.71,48,12.66,US,1645374246,0,Willoughby Arms Ltd
419,419,mecca,21.4267,39.8261,67.95,39,15.17,SA,1645373992,0,Willoughby Arms Ltd
420,420,sulphur springs,33.1385,-95.6011,58.39,31,17.27,US,1645374158,0,Willoughby Arms Ltd
421,421,sinnamary,5.3833,-52.95,79.79,84,8.61,GF,1645374247,44,Willoughby Arms Ltd
422,422,cairns,-16.9167,145.7667,77.43,90,5.75,AU,1645374248,25,Willoughby Arms Ltd
424,424,yongan,39.6957,113.6871,3.4,82,1.57,CN,1645374248,7,Willoughby Arms Ltd
426,426,hay river,60.8156,-115.7999,-27.42,68,4.61,CA,1645374249,20,Willoughby Arms Ltd
428,428,puri,19.8,85.85,75.72,81,20.2,IN,1645374250,41,Willoughby Arms Ltd
433,433,dalton,34.7698,-84.9702,48.42,38,5.75,US,1645374048,0,Willoughby Arms Ltd
434,434,altay,47.8667,88.1167,10.35,68,8.19,CN,1645374252,36,Willoughby Arms Ltd
437,437,kahului,20.8947,-156.47,69.31,85,4.61,US,1645374253,0,Willoughby Arms Ltd
444,444,acapulco,16.8634,-99.8901,84.02,48,3.44,MX,1645374255,0,Willoughby Arms Ltd
447,447,kayes,14.0,-11.0,102.11,7,7.54,ML,1645374256,22,Willoughby Arms Ltd
451,451,ixtapa,20.7,-105.2,72.63,64,2.3,MX,1645374258,20,Willoughby Arms Ltd
453,453,kontagora,10.3999,5.4695,96.26,8,4.43,NG,1645374258,25,Willoughby Arms Ltd
455,455,gold coast,-28.0,153.4333,70.83,95,5.75,AU,1645374259,40,Willoughby Arms Ltd
457,457,gravdal,68.1214,13.5031,21.09,68,6.91,NO,1645374320,40,Willoughby Arms Ltd
458,458,hobyo,5.3505,48.5268,77.65,68,18.07,SO,1645374320,49,Willoughby Arms Ltd
459,459,springdale,36.1867,-94.1288,53.26,40,23.02,US,1645374294,0,Willoughby Arms Ltd
460,460,coquimbo,-29.9533,-71.3436,69.53,68,12.66,CL,1645374321,0,Willoughby Arms Ltd
461,461,malanville,11.8685,3.3899,96.78,6,12.57,BJ,1645374321,20,Willoughby Arms Ltd
462,462,bagdarin,54.4333,113.6,-16.51,95,4.5,RU,1645374321,24,Willoughby Arms Ltd
463,463,siniscola,40.5719,9.6922,58.55,56,8.55,IT,1645374322,0,Willoughby Arms Ltd
464,464,nouadhibou,20.930999999999997,-17.0347,80.58,26,25.32,MR,1645374322,49,Willoughby Arms Ltd
466,466,rorvik,64.8621,11.2373,32.11,86,14.94,NO,1645374323,40,Willoughby Arms Ltd
469,469,phalaborwa,-23.943,31.1411,76.28,28,8.23,ZA,1645374324,17,Willoughby Arms Ltd
471,471,atar,20.5169,-13.0499,86.14,13,13.53,MR,1645374325,1,Willoughby Arms Ltd
473,473,erzin,36.9559,36.2,57.92,72,4.14,TR,1645374325,26,Willoughby Arms Ltd
477,477,oyama,36.3,139.8,35.73,34,19.33,JP,1645374327,0,Willoughby Arms Ltd
478,478,jacqueville,5.2052,-4.4146,82.31,77,10.63,CI,1645374327,42,Willoughby Arms Ltd
479,479,nuevitas,21.5453,-77.2644,83.64,61,13.98,CU,1645374328,37,Willoughby Arms Ltd
480,480,la ronge,55.1001,-105.2842,-19.95,57,4.61,CA,1645374328,40,Willoughby Arms Ltd
481,481,colares,38.7992,-9.4469,65.19,40,17.27,PT,1645374328,0,Willoughby Arms Ltd
482,482,ambon,-3.6954,128.1814,75.34,94,4.61,ID,1645374329,40,Willoughby Arms Ltd
485,485,kamaishi,39.2667,141.8833,26.94,65,18.25,JP,1645374330,49,Willoughby Arms Ltd
489,489,mitsamiouli,-11.3847,43.2844,84.49,79,2.3,KM,1645374331,20,Willoughby Arms Ltd
490,490,helena,46.5927,-112.0361,33.67,61,8.05,US,1645374192,0,Willoughby Arms Ltd
492,492,susehri,40.1644,38.0867,24.03,90,1.3,TR,1645374332,36,Willoughby Arms Ltd
494,494,sergeyevka,53.88,67.4158,8.85,90,10.71,KZ,1645374333,9,Willoughby Arms Ltd
498,498,agadez,19.75,10.25,77.4,11,7.07,NE,1645374334,0,Willoughby Arms Ltd
499,499,aklavik,68.2191,-135.0107,-38.2,74,4.61,CA,1645374334,0,Willoughby Arms Ltd
500,500,chanute,37.6792,-95.4572,51.73,46,20.71,US,1645374335,0,Willoughby Arms Ltd
504,504,ancud,-41.8697,-73.8203,66.22,64,3.76,CL,1645374396,7,Willoughby Arms Ltd
505,505,gao,16.6362,1.6369999999999998,91.35,7,15.05,ML,1645374397,0,Willoughby Arms Ltd
507,507,nioro,13.35,-15.75,101.88,7,5.61,GM,1645374397,49,Willoughby Arms Ltd
508,508,kuhdasht,33.535,47.6061,47.71,65,7.09,IR,1645374398,0,Willoughby Arms Ltd
509,509,oil city,41.4339,-79.7064,31.01,49,14.97,US,1645374398,0,Willoughby Arms Ltd
511,511,henties bay,-22.116,14.2845,68.86,81,11.41,,1645374399,40,Willoughby Arms Ltd
516,516,basi,26.8333,76.0333,71.94,26,7.85,IN,1645374401,0,Willoughby Arms Ltd
517,517,les cayes,18.2,-73.75,84.31,51,6.06,HT,1645374401,12,Willoughby Arms Ltd
518,518,estrela,-28.0611,-50.9383,88.05,22,7.49,BR,1645374401,26,Willoughby Arms Ltd
522,522,mae sai,20.4335,99.8762,73.06,73,0.58,TH,1645374403,24,Willoughby Arms Ltd
525,525,mastung,29.7994,66.845,51.62,40,6.42,PK,1645374404,2,Willoughby Arms Ltd
526,526,roald,62.5833,6.1333,34.38,51,14.97,NO,1645374404,0,Willoughby Arms Ltd
527,527,santo amaro da imperatriz,-27.6881,-48.7786,90.73,27,5.55,BR,1645374405,1,Willoughby Arms Ltd
532,532,mafra,-26.1114,-49.8053,81.93,27,3.71,BR,1645374244,7,Willoughby Arms Ltd
535,535,oranjestad,12.524000000000001,-70.027,78.58,76,16.73,AW,1645374389,0,Willoughby Arms Ltd
536,536,laurel,39.0993,-76.8483,33.13,39,4.61,US,1645374392,0,Willoughby Arms Ltd
538,538,hambantota,6.1241,81.1185,79.41,82,3.89,LK,1645374408,28,Willoughby Arms Ltd
539,539,yanam,16.7333,82.2167,75.6,70,7.76,IN,1645374408,7,Willoughby Arms Ltd
546,546,tambacounda,13.7539,-13.7586,105.85,12,2.3,SN,1645374411,3,Willoughby Arms Ltd
549,549,taltal,-25.4,-70.4833,71.82,69,6.67,CL,1645374412,1,Willoughby Arms Ltd
555,555,valcourt,45.5001,-72.3158,10.92,67,7.45,CA,1645374449,23,Willoughby Arms Ltd
557,557,tilichiki,60.4667,166.1,-26.68,94,8.86,RU,1645374474,11,Willoughby Arms Ltd
558,558,inuvik,68.3499,-133.7218,-25.58,72,6.91,CA,1645374474,0,Willoughby Arms Ltd
559,559,dakar,14.6937,-17.4441,75.33,60,11.5,SN,1645374339,4,Willoughby Arms Ltd
